classname,RCo,HCo,SCo,NoR,NoH,NoS,NoGH,NoEH,RoTLoC,RoCLoC,RoFLoC,HDoS,EHMU
br::ufc::dc::tpii::bank::account::SpecialAccount,0.0,1.0,1.0,0.0,0.3333,0.3333,0.0,0.0,0.2222,0.0741,0.0741,0.0,1.0
br::ufc::dc::tpii::bank::account::exception::NegativeAmountException,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
br::ufc::dc::tpii::bank::persistence::exception::AccountDeletionException,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
br::ufc::dc::tpii::bank::persistence::exception::FlushException,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
br::ufc::dc::tpii::bank::persistence::AccountVector,3.0,0.0,4.0,0.4286,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,1.0,1.0
br::ufc::dc::tpii::bank::view::ATM24H,0.0,1.0,0.0,0.0,2.6667,0.0,0.0,0.0,0.2326,0.093,0.0,0.0,1.0
br::ufc::dc::tpii::bank::BankControllerTransferTest,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.5111,0.0889,0.0,0.0,1.0
br::ufc::dc::tpii::bank::account::TaxAccount,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
br::ufc::dc::tpii::bank::persistence::AccountXStream,4.0,2.0,6.0,0.6667,0.5556,0.6667,0.0,0.0,0.2404,0.1442,0.0,0.915,1.0
br::ufc::dc::tpii::bank::account::AbstractAccount,1.0,0.0,2.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.0,1.0
br::ufc::dc::tpii::bank::OrdinaryAccountTest,0.0,2.0,1.0,0.0,1.0,0.5,0.0,0.0,0.4231,0.1538,0.0,0.0,1.0
br::ufc::dc::tpii::bank::control::exception::IncompatibleAccountException,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
br::ufc::dc::tpii::bank::TaxAccountTest,0.0,2.0,1.0,0.0,1.0,0.5,0.0,0.0,0.4231,0.1538,0.0,0.0,1.0
br::ufc::dc::tpii::bank::persistence::exception::PersistenceException,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
br::ufc::dc::tpii::bank::SpecialAccountTest,0.0,2.0,1.0,0.0,1.0,0.5,0.0,0.0,0.4231,0.1538,0.0,0.0,1.0
br::ufc::dc::tpii::bank::control::exception::BankTransactionException,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
br::ufc::dc::tpii::bank::control::BankController,2.0,6.0,2.0,1.8889,1.6667,1.2222,0.0,0.0,0.4265,0.2206,0.0,0.95,1.0
br::ufc::dc::tpii::bank::account::exception::InsufficientFundsException,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
br::ufc::dc::tpii::bank::account::SavingsAccount,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3077,0.1538,0.0,0.0,1.0
br::ufc::dc::tpii::bank::account::OrdinaryAccount,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
br::ufc::dc::tpii::bank::persistence::exception::AccountCreationException,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
br::ufc::dc::tpii::bank::persistence::exception::AccountNotFoundException,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
br::ufc::dc::tpii::bank::SavingsAccountTest,0.0,2.0,1.0,0.0,1.0,0.5,0.0,0.0,0.4231,0.1538,0.0,0.0,1.0
br::ufc::dc::tpii::bank::persistence::exception::ExistingAccountException,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0